Link,Date Uploaded,Price,Make,Model,Trim,Trim Level,Year,Mileage (km),Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,Date Sold,Engine Size,Horsepower
https://www.donedeal.ie/cars-for-sale/audi-a4-black-leather/37862165,2024-09-14,6000,Audi,A4,-,Base Trim,2012,201000.0,Diesel,Manual,Saloon,,,,5.0,4,Black,,,,,2024-09-15,2.0 L,136 hp
https://www.donedeal.ie/cars-for-sale/skoda-superb-2009/37917281,2024-09-14,2750,Skoda,Superb,,,2009,428301.0,Diesel,---,Hatchback,,,,5.0,---,Grey,,,,,,2.0 L,
https://www.donedeal.ie/cars-for-sale/bmw-630i-e63-m-sport/37917283,2024-09-14,6250,BMW,6-Series,,,2007,195000.0,Petrol,Automatic,Coupe,,,,4.0,2,Black,,,,,,3.0 L,
https://www.donedeal.ie/cars-for-sale/saab-93-1-9d-vector-sport/37534234,2024-09-14,3300,Saab,9-3,Linear,Base Trim,2011,325891.0,Diesel,Manual,Saloon,,,,5.0,4,White,,,,,,1.9 L,150 hp
https://www.donedeal.ie/cars-for-sale/volkswagon-golf/37891858?campaign=3,2024-09-14,4750,Volkswagen,Golf,HIGHLINE,Luxury Trim,2011,329914.0,Diesel,Manual,Estate/Jeep,,,,5.0,4,Black,,,,,2024-09-21,1.598 L,105 hp
https://www.donedeal.ie/cars-for-sale/volkswagen-passat-2009/37910472?campaign=3,2024-09-14,3000,Volkswagen,Passat,,,2009,185000.0,Diesel,---,Saloon,,,,5.0,---,Grey,,,,,,2.0 L,
https://www.donedeal.ie/cars-for-sale/ford-focus-2012/37884218,2024-09-14,3800,Ford,Focus,Edge,Medium Trim,2012,240000.0,Diesel,Manual,Saloon,,,,5.0,4,Silver,,,,,,1.6 L,95 hp
https://www.donedeal.ie/cars-for-sale/skoda-octavia-1-9-cheap-tax/37917047,2024-09-14,2000,Skoda,Octavia,,,2008,,Diesel,Manual,Hatchback,,,,5.0,5,Beige,,,,,,1.9 L,
https://www.donedeal.ie/cars-for-sale/volkswagen-jetta-2011/37805064,2024-09-14,3700,Volkswagen,Jetta,TRENDLINE,Base Trim,2011,260000.0,Diesel,Manual,Saloon,,,,5.0,4,Silver,,,,,,1.6 L,105 hp
https://www.donedeal.ie/cars-for-sale/renault-megane-rxi-1-4-16v-nct-tax/37892175,2024-09-14,1000,Renault,Megane,,,2000,157393.0,Petrol,Manual,Hatchback,,,,4.0,5,White,,,,,2024-09-19,1.4 L,
https://www.donedeal.ie/cars-for-sale/141-hyundai-ix20-1-4-diesel-just-nct-tested/37772638,2024-09-14,4700,Hyundai,ix20,Deluxe,Base Trim,2014,238000.0,Diesel,Manual,MPV,,,,5.0,4,Red,,,,,,1.4 L,90 hp
https://www.donedeal.ie/cars-for-sale/2013-red-fiat-500-pop/37917030,2024-09-14,5950,Fiat,500,Pop,Base Trim,2013,177027.0,Petrol,Manual,Hatchback,,,,4.0,3,Red,,,,,,1.2 L,69 hp
https://www.donedeal.ie/cars-for-sale/car-ford-mondeo-combi/37917012,2024-09-14,6000,Ford,Mondeo,Zetec,Medium Trim,2013,325.0,Diesel,Manual,Estate,,,,5.0,4,Black,,,,,,2.0 L,140 hp
https://www.donedeal.ie/cars-for-sale/2009-vauxhall-astra/37917008,2024-09-14,1875,Vauxhall,Astra,,,2009,313821.0,Diesel,---,Hatchback,,,,5.0,---,Red,,,,,2024-09-19,1.7 L,
https://www.donedeal.ie/cars-for-sale/opel-corsa-2010/36958169,2024-09-14,4000,Opel,Corsa,,,2010,151204.0,Petrol,Automatic,Hatchback,,,,5.0,5,White,,,,,2024-09-15,1.2 L,
https://www.donedeal.ie/cars-for-sale/opel-insignia-2-0diesel-nct-10-2025/37916996,2024-09-14,1350,Opel,Insignia,SC,Medium Trim,2012,321868.0,Diesel,Manual,MPV,,,,5.0,4,Yellow,,,,,2024-09-21,2.0 L,160 hp
https://www.donedeal.ie/cars-for-sale/new-nct-2010-toyota-avensis-2ltr-diesel/37916994,2024-09-14,1750,Toyota,Avensis,,,2010,354054.0,Diesel,Manual,Saloon,,,,5.0,4,Silver,,,,,2024-09-22,2.0 L,
https://www.donedeal.ie/cars-for-sale/ford-fiesta-zetec-s/37805013,2024-09-14,5350,Ford,Fiesta,Zetec-S,Sports Trim,2011,160100.0,Petrol,Manual,Hatchback,,,,5.0,3,White,,,,,2024-09-21,1.6 L,120 hp
https://www.donedeal.ie/cars-for-sale/2013-vw-passat-estate/37916980,2024-09-14,4500,Volkswagen,Passat,HIGHLINE,Luxury Trim,2013,360000.0,Diesel,Manual,Estate,,,,5.0,5,Silver,,,,,,2.0 L,140 hp
https://www.donedeal.ie/cars-for-sale/toyota-corolla/37916899,2024-09-14,1950,Toyota,Corolla,,,2006,284709.0,Petrol,---,Hatchback,,,,5.0,---,Silver,,,,,2024-09-14,1.4 L,
https://www.donedeal.ie/cars-for-sale/kia-venga-2012/37692058,2024-09-14,5400,Kia,Venga,Elite,Base Trim,2012,72137.0,Diesel,Manual,MPV,,,,5.0,4,Silver,,,,,,1.4 L,90 hp
https://www.donedeal.ie/cars-for-sale/car/37692064,2024-09-14,4650,Kia,Ceed,EX,Medium Trim,2015,285742.0,Diesel,Manual,Estate/Jeep,,,,5.0,5,White,,,,,,1.6 L,136 hp
https://www.donedeal.ie/cars-for-sale/peugeot-207-2008/37722348,2024-09-14,900,Peugeot,207,,,2008,290000.0,Petrol,Manual,Hatchback,,,,5.0,3,Black,,,,,,1.4 L,
https://www.donedeal.ie/cars-for-sale/151-opel-insignia-cdti-2-0-diesel/37747057,2024-09-14,4950,Opel,Insignia,SE,Medium Trim,2015,268854.0,Diesel,Manual,Saloon,,,,5.0,4,Black,,,,,2024-09-23,2.0 L,140 hp
https://www.donedeal.ie/cars-for-sale/car/37916944,2024-09-14,1800,Ford,KA,,,2009,145200.0,Petrol,Manual,Hatchback,,,,4.0,3,Black,,,,,,1.2 L,
https://www.donedeal.ie/cars-for-sale/ford-mondeo-2010/37714907,2024-09-14,4600,Ford,Mondeo,,,2010,160129.0,Diesel,Unknown,Hatchback,,,,5.0,5,Silver,,,,,,1.8 L,
