Link,Date Uploaded,Price,Make,Model,Trim,Trim Level,Year,Mileage (km),Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,Date Sold
https://www.donedeal.ie/cars-for-sale/1962-morris-minor/30870084,2023-02-28,2350,Austin,Minor,,,1962,135567.0,Petrol,Manual,Saloon,0.9 litre,,,5,3,Black,Ireland,7,56,---,2023-03-12
https://www.donedeal.ie/cars-for-sale/2012-opel-astra/33461836,2023-02-28,5950,Opel,Astra,---,---,2012,114263.0,Petrol,---,Hatchback,1.6 litre,---,---,5,5,Grey,Ireland,---,390,Nov 2022,2023-03-16
https://www.donedeal.ie/cars-for-sale/3-months-warranty-opel-astra-2008/33413199,2023-02-28,3250,Opel,Astra,,,2008,200000.0,Petrol,Manual,Hatchback,1.4 litre,,,5,3,Blue,Ireland,2,390,Jan 2024,
https://www.donedeal.ie/cars-for-sale/lovely-toyota-rav-4/33404240,2023-02-28,1995,Toyota,RAV4,,,2004,,Diesel,---,SUV,2.0 litre,,,5,---,Black,Ireland,7,710,Jul 2023,
https://www.donedeal.ie/cars-for-sale/2003-toyota-corolla/33461997,2023-02-28,1399,Toyota,Corolla,,,2003,405553.0,Petrol,Manual,Saloon,1.4 litre,,,5,4,Silver,Ireland,3,385,Dec 2023,2023-03-02
https://www.donedeal.ie/cars-for-sale/bmw-f10-5-series/33447058,2023-02-28,4250,BMW,5-Series,,,2010,340000.0,Diesel,Automatic,Saloon,2.0 litre,,,5,4,Black,Ireland,3,280,Feb 2024,2023-03-01
https://www.donedeal.ie/cars-for-sale/vwpassat1-6-fsi/33461967,2023-02-28,1950,Volkswagen,Passat,,,2006,255000.0,Petrol,Manual,Saloon,1.6 litre,,,5,4,Blue,Ireland,8,514,Feb 2024,2023-03-19
https://www.donedeal.ie/cars-for-sale/2012-opel-astra-low-mileage/33434952,2023-02-28,6950,Opel,Astra,SC,Medium Trim,2012,128747.0,Diesel,Manual,MPV,1.2 litre,95hp,14.5 sec,5,5,Blue,Ireland,1,190,Feb 2024,2023-03-12
https://www.donedeal.ie/cars-for-sale/2011-peugeot-308-new-nct/32721450,2023-02-28,4950,Peugeot,308,ENVY,Medium Trim,2011,179000.0,Diesel,Manual,Hatchback,1.6 litre,92hp,12.4 sec,5,5,Grey,Ireland,2,200,Jun 2023,
https://www.donedeal.ie/cars-for-sale/2010-hyundai-ix35/32668597,2023-02-28,6500,Hyundai,ix35,,,2010,254275.0,Diesel,Manual,SUV,2.0 litre,,,---,5,Blue,Ireland,4,390,Jul 2023,2023-03-13
https://www.donedeal.ie/cars-for-sale/2011-renault-laguna-3500/33117190,2023-02-28,3500,Renault,Laguna,ROYALE,Base Trim,2011,273587.0,Diesel,Manual,Hatchback,1.5 litre,110hp,11.9 sec,5,4,Black,Ireland,1,200,Jul 2023,2023-03-16
https://www.donedeal.ie/cars-for-sale/toyota-aygo-2006-automatic-77-milesfresh-nct/32851029,2023-02-28,3500,Toyota,Aygo,,,2006,123919.0,Petrol,Automatic,Hatchback,1.0 litre,,,4,5,Grey,Ireland,3,199,Oct 2021,2023-03-01
https://www.donedeal.ie/cars-for-sale/skoda-superb-2-0tdi-dsg-automatic/33338048,2023-02-28,5850,Skoda,Superb,,,2010,335000.0,Diesel,Automatic,Estate,2.0 litre,,,5,1,Grey,Ireland,1,570,Oct 2023,2023-03-07
https://www.donedeal.ie/cars-for-sale/2009-honda-insight/33252859,2023-02-28,6100,Honda,Insight,,,2009,115585.0,Petrol Hybrid,Automatic,Hatchback,1.3 litre,,,5,5,Grey,Ireland,4,180,Dec 2023,
https://www.donedeal.ie/cars-for-sale/mercedes-benz-s-class-v6-4dr-a/32181389,2023-02-28,4950,Mercedes-Benz,S-Class,,,2005,148075.0,Petrol,Automatic,Saloon,2.8 litre,,,---,4,Silver,Ireland,---,---,Apr 2023,
https://www.donedeal.ie/cars-for-sale/2010-volkswagen-polo-1-2-petrol-new-nct/33432104,2023-02-28,5950,Volkswagen,Polo,,,2010,114874.0,Petrol,Manual,Hatchback,1.2 litre,,,5,5,Black,Ireland,2,270,Dec 2023,2023-03-16
https://www.donedeal.ie/cars-for-sale/volkswagen-golf-gti-dsg-125tkm-new-nct/33438475,2023-02-28,7000,Volkswagen,Golf,,,2006,125000.0,Petrol,Automatic,Hatchback,2.0 litre,,,5,3,Black,Ireland,5,710,Nov 2023,
https://www.donedeal.ie/cars-for-sale/mazda-6-2-2-d-skyactiv-d-se-l-nav-4dr/33375562,2023-02-28,5500,Mazda,6,EXECUTIVE,Base Trim,2014,314328.0,Diesel,Manual,Saloon,2.2 litre,150hp,9.0 sec,5,4,Blue,Ireland,2,---,Jan 2025,2023-03-22
